"new_simple_name","taxon_id","kingdom","class","new_iucn","new_protected","new_redlistTW"
"Hydrilla verticillata","t0053961","Plantae","Magnoliopsida","LC",NA,"NLC"
"Hydrocharis dubia","t0053962","Plantae","Magnoliopsida","LC",NA,"NNT"
"Hydrocotyle sibthorpioides","t0053971","Plantae","Magnoliopsida","LC",NA,"NLC"
"Hydrocotyle vulgaris","t0053973","Plantae","Magnoliopsida","LC",NA,NA
"Ilex bioritsensis","t0054010","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ilex cochinchinensis","t0054011","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ilex ficoidea","t0054013","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ilex formosana","t0054014","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ilex goshiensis","t0054015","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ilex pedunculosa","t0054022","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ilex rotunda","t0054025","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ilex uraiensis","t0054028","Plantae","Magnoliopsida","EN",NA,"NLC"
"Indigofera pedicellata","t0054044","Plantae","Magnoliopsida","LC",NA,"NEN"
"Indigofera tinctoria","t0054050","Plantae","Magnoliopsida","LC",NA,"NLC"
"Indigofera zollingeriana","t0054053","Plantae","Magnoliopsida","LC",NA,"NVU"
"Ipomoea lacunosa","t0054064","Plantae","Magnoliopsida","LC",NA,NA
"Ipomoea triloba","t0054074","Plantae","Magnoliopsida","LC",NA,NA
"Polytrias indica","t0054091","Plantae","Magnoliopsida","LC",NA,NA
"Ischaemum muticum","t0054092","Plantae","Magnoliopsida","LC",NA,"DD"
"Ischaemum rugosum","t0054093","Plantae","Magnoliopsida","LC",NA,"NVU"
"Ixora philippinensis","t0054107","Plantae","Magnoliopsida","LC",NA,"NEN"
"Juncus bufonius","t0054122","Plantae","Magnoliopsida","LC",NA,NA
"Juncus wallichianus","t0054131","Plantae","Magnoliopsida","LC",NA,"NVU"
"Juniperus squamata","t0054132","Plantae","Pinopsida","LC",NA,"NLC"
"Kalanchoe daigremontiana","t0054141","Plantae","Magnoliopsida","EN",NA,NA
"Kandelia obovata","t0054147","Plantae","Magnoliopsida","LC",NA,"NNT"
"Kleinhovia hospita","t0054148","Plantae","Magnoliopsida","LC",NA,"NLC"
"Lagerstroemia indica","t0054162","Plantae","Magnoliopsida","LC",NA,NA
"Lagerstroemia subcostata","t0054164","Plantae","Magnoliopsida","LC",NA,"NLC"
"Lasia spinosa","t0054171","Plantae","Magnoliopsida","LC",NA,NA
"Lathyrus odoratus","t0054182","Plantae","Magnoliopsida","CR",NA,NA
"Lecythis minor","t0054192","Plantae","Magnoliopsida","LC",NA,NA
"Lecythis zabucajo","t0054193","Plantae","Magnoliopsida","LC",NA,NA
"Leea philippinensis","t0054195","Plantae","Magnoliopsida","NT",NA,"NNT"
"Leersia hexandra","t0054196","Plantae","Magnoliopsida","LC",NA,"NLC"
"Lemna trisulca","t0054198","Plantae","Magnoliopsida","LC",NA,"NCR"
"Ligustrum pricei","t0054232","Plantae","Magnoliopsida","DD",NA,"NLC"
"Lindera megaphylla","t0054246","Plantae","Magnoliopsida","LC",NA,"NLC"
"Lindernia dubia","t0054247","Plantae","Magnoliopsida","LC",NA,NA
"Lindernia procumbens","t0054251","Plantae","Magnoliopsida","LC",NA,"NLC"
"Yamazakia pusilla","t0054252","Plantae","Magnoliopsida","LC",NA,"NLC"
"Yamazakia viscosa","t0054254","Plantae","Magnoliopsida","LC",NA,"NEN"
