"new_simple_name","taxon_id","kingdom","class","new_iucn"
"Colubrina asiatica","t0053094","Plantae","Magnoliopsida","LC"
"Commelina benghalensis","t0053098","Plantae","Magnoliopsida","LC"
"Commelina diffusa","t0053100","Plantae","Magnoliopsida","LC"
"Cordia dichotoma","t0053115","Plantae","Magnoliopsida","LC"
"Corylopsis pauciflora","t0053134","Plantae","Magnoliopsida","DD"
"Corylus heterophylla","t0053136","Plantae","Magnoliopsida","LC"
"Crossandra infundibuliformis","t0053157","Plantae","Magnoliopsida","LC"
"Crotalaria albida","t0053161","Plantae","Magnoliopsida","LC"
"Crotalaria assamica","t0053162","Plantae","Magnoliopsida","LC"
"Crotalaria incana","t0053170","Plantae","Magnoliopsida","LC"
"Crotalaria lanceolata","t0053172","Plantae","Magnoliopsida","LC"
"Crotalaria micans","t0053175","Plantae","Magnoliopsida","LC"
"Crotalaria spectabilis","t0053180","Plantae","Magnoliopsida","LC"
"Croton cascarilloides","t0053184","Plantae","Magnoliopsida","LC"
"Croton tiglium","t0053186","Plantae","Magnoliopsida","LC"
"Cryptocarya chinensis","t0053188","Plantae","Magnoliopsida","LC"
"Cryptocarya concinna","t0053189","Plantae","Magnoliopsida","LC"
"Cryptocarya elliptifolia","t0053190","Plantae","Magnoliopsida","CR"
"Cryptomeria japonica","t0053192","Plantae","Pinopsida","NT"
"Cucurbita pepo","t0053199","Plantae","Magnoliopsida","LC"
"Cunninghamia konishii","t0053200","Plantae","Pinopsida","EN"
"Curcuma domestica","t0053208","Plantae","Magnoliopsida","DD"
"Curcuma longa","t0053209","Plantae","Magnoliopsida","DD"
"Curcuma viridiflora","t0053210","Plantae","Magnoliopsida","DD"
"Curcuma zedoaria","t0053211","Plantae","Magnoliopsida","DD"
"Cycas revoluta","t0053221","Plantae","Cycadopsida","LC"
"Cydonia oblonga","t0053224","Plantae","Magnoliopsida","LC"
"Cymbidium macrorhizon","t0053235","Plantae","Magnoliopsida","LC"
"Cyperus alternifolius","t0053251","Plantae","Magnoliopsida","LC"
"Cyperus compressus","t0053253","Plantae","Magnoliopsida","LC"
"Cyperus difformis","t0053254","Plantae","Magnoliopsida","LC"
"Cyperus diffusus","t0053255","Plantae","Magnoliopsida","LC"
"Cyperus digitatus","t0053256","Plantae","Magnoliopsida","LC"
"Cyperus distans","t0053257","Plantae","Magnoliopsida","LC"
"Cyperus eragrostis","t0053258","Plantae","Magnoliopsida","LC"
"Cyperus esculentus","t0053259","Plantae","Magnoliopsida","LC"
"Cyperus exaltatus","t0053260","Plantae","Magnoliopsida","LC"
"Cyperus haspan","t0053261","Plantae","Magnoliopsida","LC"
"Cyperus iria","t0053263","Plantae","Magnoliopsida","LC"
"Cyperus nipponicus","t0053267","Plantae","Magnoliopsida","LC"
"Cyperus pilosus","t0053268","Plantae","Magnoliopsida","LC"
"Cyperus pygmaeus","t0053271","Plantae","Magnoliopsida","LC"
"Cyperus rotundus","t0053272","Plantae","Magnoliopsida","LC"
"Cyperus serotinus","t0053273","Plantae","Magnoliopsida","LC"
"Cyperus stoloniferus","t0053274","Plantae","Magnoliopsida","LC"
"Cyperus tenuiculmis","t0053276","Plantae","Magnoliopsida","LC"
"Cyperus tenuispica","t0053277","Plantae","Magnoliopsida","LC"
"Cypholophus moluccanus","t0053278","Plantae","Magnoliopsida","LC"
"Cyphomandra betacea","t0053279","Plantae","Magnoliopsida","DD"
"Cypripedium debile","t0053280","Plantae","Magnoliopsida","VU"
"Cypripedium formosanum","t0053281","Plantae","Magnoliopsida","EN"
"Cypripedium segawae","t0053282","Plantae","Magnoliopsida","CR"
"Dalbergia benthamii","t0053290","Plantae","Magnoliopsida","LC"
"Dalbergia sissoo","t0053292","Plantae","Magnoliopsida","LC"
"Daucus carota","t0053303","Plantae","Magnoliopsida","LC"
"Decaspermum gracilentum","t0053305","Plantae","Magnoliopsida","LC"
"Dehaasia incrassata","t0053308","Plantae","Magnoliopsida","LC"
